S.No.,Workload Size P1,Workload Size P2,Total Turnaround Time P1,Waiting Time P1,Total Turnaround Time P2,Waiting Time P2
1,200,1000,0.004198762,0,0.002102013,0
2,800,8000,0.004230251,0,0.002134783,0
3,1800,27000,0.00423674,0,0.002111471,0
4,3200,64000,0.004233629,0,0.002134751,0
5,5000,125000,0.008323861,0.002080584,0.006166004,0.002038558
6,7200,216000,0.008435737,0.002120407,0.006181651,0.002022895
7,9800,343000,0.008539102,0.002116396,0.006187524,0.002030906
8,12800,512000,0.008777017,0.00206773,0.006124234,0.002054886
9,16200,729000,0.008883706,0.002091233,0.006182012,0.00208577
10,20000,1000000,0.008827267,0.002088871,0.006187844,0.002092486
11,24200,1331000,0.008827179,0.002099326,0.006186376,0.002084286
12,28800,1728000,0.00898929,0.002101242,0.007352303,0.002083287
13,33800,2197000,0.013187212,0.004236782,0.010407283,0.00417992
14,39200,2744000,0.013261391,0.004212847,0.010930751,0.004293305
15,45000,3375000,0.013725973,0.004184259,0.012559522,0.004684234
16,51200,4096000,0.014033281,0.004166859,0.013930001,0.004947494
17,57800,4913000,0.014359796,0.004152205,0.014962051,0.005047114
18,64800,5832000,0.014278023,0.004166977,0.016680016,0.005156689
19,72200,6859000,0.018313316,0.006502985,0.019359175,0.006933284
20,80000,8000000,0.018039993,0.006136871,0.023081257,0.006805274
